app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(13,18): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(15,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(24,12): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(26,11): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(27,15): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(28,13): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(31,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(35,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(38,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(41,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(44,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(81,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(92,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(94,23): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(95,23): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(98,1): error TS2708: Cannot use namespace 'jest' as a value.
