RouteName,State,CentroidLat,CentroidLng,LengthMiles,AgencyTags
Historic National Road - Illinois,Illinois,39.024125,-88.873289,161.3,"NSB, STATE"
Historic National Road - Indiana,Illinois / Indiana,39.693159,-86.182337,149.7,NSB
Historic National Road - Maryland,Maryland / Pennsylvania,39.555947,-77.971159,170.5,"NSB, STATE"
Historic National Road - Ohio,Indiana / Ohio,39.957117,-82.781637,229.4,"NSB, STATE"
Historic National Road - Pennsylvania,Pennsylvania / West Virginia,39.978504,-79.903674,80.3,"NSB, STATE, STATE"
Historic National Road - West Virginia,West Virginia,40.073842,-80.631675,15.8,NSB
Historic Piedmont Scenic Byway,Georgia,33.324428,-83.077634,58.9,STATE
Historic Route 66,Arizona / California / Illinois / New Mexico / Texas,36.612229,-102.909439,1407.1,NSB
Historic Route 66 - OK,Kansas / Oklahoma / Texas,35.855904,-97.203120,376.9,STATE
Horses and Hounds Scenic Byway,Maryland,39.558514,-76.674546,57.7,STATE
Illinois River Road,Illinois,40.891286,-89.518223,293.5,NSB
Indian Canyon Scenic Byway,Utah,39.943241,-110.650045,43.6,STATE
Indian Creek Corridor Scenic Byway,Utah,38.091850,-109.586965,40.8,STATE
Indian Heritage Trail,North Carolina,35.121357,-79.835917,18.8,STATE
Indian Lakes Scenic Byway,North Carolina,35.407057,-83.787579,50.8,STATE
Indian River Lagoon Scenic Highway,Florida,28.226043,-80.622648,163.2,"NSB, STATE"
International Selkirk Loop,Idaho / Washington,48.523109,-116.885263,161.7,NSB
Interstate 185,Georgia,32.715258,-84.966426,52.8,STATE
Iowa Valley Scenic Byway,Iowa,41.859022,-92.215988,77.6,STATE
Jacinto Reyes Scenic Byway (Route 33),California,34.567813,-119.304086,36.7,"USFS, STATE"
Jacob's Ladder Trail (Route 20),Massachusetts,42.256694,-73.024418,30.0,STATE
Jean Lafitte Scenic Byway,Louisiana,29.973308,-92.364935,174.2,STATE
Jefferson County Scenic Byway,Ohio,40.189201,-80.773938,12.5,STATE
Jefferson Township Scenic Byway,Ohio,40.036188,-82.821064,14.1,STATE
Jemez Mountain Trail,New Mexico,35.795846,-106.698906,122.7,"NSB, STATE"
"Jerome, Clarkdale, and Cottonwood Historic Road",Arizona,34.752214,-112.059628,10.7,STATE
Joshua Forest Scenic Road,Arizona,34.386401,-113.239908,50.3,STATE
Journey Through Time Scenic Byway,Oregon,44.808371,-119.591955,278.6,STATE
Kaibab Plateau-North Rim Parkway,Arizona,36.461671,-112.136151,42.6,"USFS, NSB, STATE"
